date,index_value
2013-07,117.1
2013-08,117.1
2013-09,117.5
2013-10,117.8
2013-11,117.5
2013-12,117.1
2014-01,117.3
2014-02,118.2
2014-03,118.6
2014-04,118.8
2014-05,119.1
2014-06,119.1
2014-07,118.9
2014-08,119.4
2014-09,119.7
2014-10,120.2
2014-11,119.8
2014-12,119.3
2015-01,119.5
2015-02,120.3
2015-03,121.0
2015-04,121.0
2015-05,121.3
2015-06,121.3
2015-07,121.3
2015-08,121.5
2015-09,121.9
2015-10,122.2
2015-11,121.9
2015-12,121.3
2016-01,121.6
2016-02,122.3
2016-03,123.1
2016-04,123.3
2016-05,123.8
2016-06,123.9
2016-07,123.7
2016-08,123.7
2016-09,124.2
2016-10,124.4
2016-11,123.9
2016-12,123.4
2017-01,124.2
2017-02,124.7
2017-03,125.1
2017-04,125.1
2017-05,125.4
2017-06,125.5
2017-07,125.5
2017-08,125.5
2017-09,125.7
2017-10,126.1
2017-11,126.1
2017-12,125.5
2018-01,126.1
2018-02,127.0
2018-03,127.5
2018-04,127.4
2018-05,127.5
2018-06,127.7
2018-07,128.4
2018-08,128.4
2018-09,128.0
2018-10,128.7
2018-11,128.3
2018-12,128.4
2019-01,128.5
2019-02,129.5
2019-03,129.9
2019-04,130.0
2019-05,130.6
2019-06,130.7
2019-07,131.2
2019-08,131.2
2019-09,130.7
2019-10,131.3
2019-11,130.9
2019-12,130.7
2020-01,130.9
2020-02,132.0
2020-03,132.1
2020-04,131.7
2020-05,131.4
2020-06,132.0
2020-07,131.8
2020-08,131.8
2020-09,131.8
